size,text
52,Re
51,朋友
35,求助
34,男友
32,同居
32,討論
29,女友
26,心情
23,真的
21,一個
21,分享
20,這樣
19,名聲
19,女朋友
18,女生
17,因為
16,傷名聲
16,對方
16,接受
16,的很
15,不是
15,同居真的很傷名聲
15,居真的很傷名聲嗎
14,什麼
14,異性
14,知道
14,還是
13,我們
13,朋友跟
13,覺得
13,言語
13,跟異性
12,友跟異性這樣言語
12,女朋友跟異性這樣
12,朋友跟異性這樣言
12,沒有
12,能否接受男
12,跟異性這樣言語往
11,po
11,友的
11,女孩
11,工作
11,我的
11,男生
11,異性這樣言語往來
11,認識
10,怎麼
10,曖昧
10,每天
10,經驗
10,這麼
9,不會
9,分手
9,如何
9,我也
9,男孩
9,的人
9,自己
9,都是
8,一定
8,一直
8,只是
8,可以
8,同事
8,已婚
8,手機
7,一下
7,一切
7,一起
7,之前
7,但是
7,和男
7,問題
7,大家
7,就是
7,是不
7,是男
7,時候
7,發現
7,的女
7,的情
7,聊天
7,跟我
6,line
6,不知
6,不要
6,也不
6,個人
6,個月
6,反應
6,可能
6,同事送
6,和男友
6,女友同
6,對話
6,小生
6,就不
6,已婚已婚
6,想要
6,愛情
6,我是
6,我覺得
6,文章
6,是我
6,時間
6,最近
6,有一
6,樣的
6,每次
6,的時
6,第一
6,聯絡
6,送禮
6,開始
6,雖然
6,電話
5,一些
5,一切都
5,一次
5,不好
5,不知道
5,不過
5,也是
5,也有
5,事情
5,交往
5,他們
5,其實
5,同居的
5,喜歡
5,天都
5,女友同事送禮
5,如果
5,對象
5,已婚已婚已婚
5,希望
5,常常
5,很多
5,我就
5,我跟
5,所以
5,打電
5,方的
5,是對
5,會在
5,有時
5,朋友的
5,東西
5,每天密
5,狀態
5,現在
5,生的
5,用心
5,畢業
5,的不
5,的女生
5,的我
5,的男
5,的經驗
5,看到
5,知道你
5,結婚
5,該如何防
5,該怎麼
5,這種
5,這篇
5,需要
4,一切都是
4,一大
4,一年
4,一樣
4,上的
4,不太
4,不愛
4,中的
4,了一
4,今天
4,他的
4,個女
4,先說
4,內容
4,兩個
4,兩年
4,出來
4,出去
4,前女友
4,劈腿
4,北科
4,原因
4,原文
4,友說
4,可是
4,因為我
4,在一
4,在台
4,在意
4,大的
4,女友的
4,妳的
4,對方的
4,已婚已婚已婚已婚
4,已經
4,後來
4,情人
4,情嗎
4,想起
4,我說
4,打電話
4,是好
4,有一個
4,有沒有
4,根本
4,次見
4,正確
4,照片
4,生理反應
4,當朋友
4,的事
4,的情侶
4,的時候
4,的朋友
4,真的不
4,確的
4,突然
4,第一次
4,而且
4,見面
4,親眼
4,說不
4,距離
4,跟男
4,辦法
4,過了
4,都會
4,面的
4,願意
3,xd
3,一大堆工具人
3,一直在
3,三個
3,下班後不願意花時
3,不同
3,不小心
3,不願意花時間陪我
3,之間
3,互動
3,以下
3,以前
3,你一
3,來了
3,信任
3,個女生
3,個禮
3,們兩
3,們的
3,傳染
3,出國
3,分手後
3,到一
3,到了
3,到這
3,前男友
3,前閃
3,半年
3,原來
3,去了
3,又不
3,友下班後不願意花
3,友交往
3,友到
3,友在
3,友情
3,友是
3,友說不
3,另一
3,台北
3,同學
3,告白
3,告知
3,唱歌
3,唸書
3,回到
3,回文
3,回頭
3,國外
3,在一起
3,在北科親眼目睹
3,多了
3,大學
3,天下
3,天都會
3,太多
3,女性
3,女的
3,如何克制生理反應
3,妙禪
3,婚已婚已婚已婚已
3,學習
3,定義
3,小弟
3,小生的
3,就像
3,差異
3,年前
3,年多
3,建議
3,很熟
3,後不願意花時間陪
3,後來他
3,心情不
3,心裡
3,情的
3,愛慕虛榮
3,愛滋
3,感覺
3,懶得
3,懷念
3,我個人是
3,我女
3,我就是
3,我很
3,我有
3,我沒
3,我這
3,我還
3,或是
3,手機排版
3,才會
3,擁有
3,新的
3,是一
3,是不是
3,是你
3,是否
3,是因
3,是在
3,是很
3,是想
3,是要
3,時就
3,曾經
3,會想要
3,有女
3,有時會
3,朋友之
3,本身
3,正常
3,正確的
3,死會
3,每天都
3,每次都
3,比較
3,沒什麼
3,沒辦法
3,無法
3,父母
3,班後不願意花時間
3,男友下班後不願意
3,男友自
3,男友說
3,男女朋友
3,男朋友
3,當男友下班後不願
3,的前
3,的回
3,的對
3,的文
3,的狀態
3,目前
3,看了
3,睡著
3,知道我
3,禮拜
3,禮物
3,第一次見
3,給你
3,網友
3,繼續
3,翻譯
3,而我
3,自己也
3,被我
3,要分
3,要這
3,覺得我
3,訊息
3,話來
3,認識了
3,請見諒
3,謝謝
3,讓我
3,起來
3,跟他
3,跟我說
3,跟男友
3,退伍
3,這個
3,這樣的
3,過了這麼久
3,過來
3,過去
3,過的
3,還是好愛
3,重點
3,順便
3,頻率
2,GAY
2,XDDDDD
2,http
2,ptt
2,一個人
2,一個月的
2,一個男
2,一個禮
2,一切都是你想太多
2,一半
2,一天
2,一定會在那邊說什
2,一定有
2,一年多
2,一起住
2,三個月
2,上的女生有同居經
2,下午
2,不一
2,不可
2,不太會
2,不安
2,不小心睡著
2,不想
2,不會送這麼
2,不知道你
2,不能
2,不要再
2,不要打
2,中一
2,中有
2,之銘言
2,也不會
2,也會勸我重視的親
2,也沒
2,了一個
2,了新的
2,人是不會想要同居
2,人說
2,今年
2,他們兩個陷入愛河
2,他們的
2,他在
2,他尚未結婚的情人
2,他是
2,他有
2,他說
2,以下是
